Title	Author	Date	Availability	Genre	Subgenre	Form	Regularisation	Nb of tokens (c.)	File	
MOLIÈRE, STANCES.	Charles JOLIET (1832-1910)	1879	cc-by-nc-sa	theatre	other	verse	yes	526	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/JOLIET_MOLIERE.xml	
LE CHAPEAU BLEU, COMÉDIE.	PIROUETTE	1881	cc-by-nc-sa	theatre	comedy	verse	yes	3911	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/DUVAUCUEL_CHAPEAUBLEU.xml	
LE MARI RETROUVÉ, COMÉDIE	DANCOURT (1661-1725)	1698	cc-by-nc-sa	theatre	comedy	prose	yes	8793	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/DANCOURT_MARIRETROUVE.xml	
LE JALOUX ENDORMI, COMÉDIE.	Edme BOURSAULT (1638-1701)	1662	cc-by-nc-sa	theatre	comedy	verse	yes	5922	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/BOURSAULT_JALOUXENDORMI.xml	
INDÉCISION, MONOLOGUE.	SIVRY, Charles de	1881	cc-by-nc-sa	theatre	other	prose	yes	652	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/SIVRY_INDECISION.xml	
MÉLICERTE, COMÉDIE PASTORALE HÉROÏQUE	MOLIERE	1682	cc-by-nc-sa	theatre	other	verse	yes	6375	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/MOLIERE_MELICERTE.xml	
LES ORIGINAUX OU MONSIEUR DU CAP-VERT, COMÉDIE	VOLTAIRE (1694-1778)	1732	cc-by-nc-sa	theatre	comedy	prose	yes	15027	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/VOLTAIRE_ORIGINAUX.xml	
L'EMBARRAS DE GODARD, OU L'ACCOUCHÉE, COMÉDIE	DONNEAU DE VISÉ, Jean	1668	cc-by-nc-sa	theatre	comedy	verse	yes	7748	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/DONNEAUDEVISE_EMBARRASDEGODARD.xml	
LE MANTEAU ÉCARLATE OU LE REVE SUPPOSÉ, COMÉDIE-PROVERBE EN UN ACTE ET EN PROSE.	SEDAINE, Michel-Jean	1784	cc-by-nc-sa	theatre	other	prose	yes	5929	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/SEDAINE_MANTEAUECARLATE.xml	
L'ÉPREUVE RÉCIPROQUE, COMÉDIE	ALAIN, Robert	1711	cc-by-nc-sa	theatre	comedy	prose	yes	5834	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/ALAINLEGRAND_EPREUVERECIPROQUE.xml	
